[2023-10-11 18:05:04,751: INFO : main : Welcome to our custom log]
[2023-10-11 18:07:01,073: INFO : main : Welcome to our custom log]
[2023-10-11 20:11:49,108: INFO : common : yaml file: config/config.yaml loaded successfully]
[2023-10-11 20:11:49,118: INFO : common : yaml file: params.yaml loaded successfully]
[2023-10-11 20:11:49,124: INFO : common : created directory at : artifacts]
[2023-10-11 20:11:49,127: INFO : common : created directory at : artifacts/data_ingestion]
[2023-10-11 20:11:49,131: INFO : 1262481016 : Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2023-10-11 20:12:01,796: INFO : 1262481016 : Downloaded data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2023-10-11 20:15:24,581: INFO : common : yaml file: config/config.yaml loaded successfully]
[2023-10-11 20:15:24,586: INFO : common : yaml file: params.yaml loaded successfully]
[2023-10-11 20:15:24,592: INFO : common : created directory at : artifacts]
[2023-10-11 20:15:24,596: INFO : common : created directory at : artifacts/data_ingestion]
[2023-10-11 20:15:24,597: INFO : 1262481016 : Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2023-10-11 20:15:36,328: INFO : 1262481016 : Downloaded data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2023-10-11 20:16:32,633: INFO : common : yaml file: config/config.yaml loaded successfully]
[2023-10-11 20:16:32,639: INFO : common : yaml file: params.yaml loaded successfully]
[2023-10-11 20:16:32,641: INFO : common : created directory at : artifacts]
[2023-10-11 20:16:32,643: INFO : common : created directory at : artifacts/data_ingestion]
[2023-10-11 20:16:32,645: INFO : 4090158618 : Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2023-10-11 20:16:44,312: INFO : 4090158618 : Downloaded data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2023-10-11 22:13:32,362: INFO : main : >>>>>> stage Data Ingestion stage started <<<<<<]
[2023-10-11 22:13:32,364: INFO : common : yaml file: config/config.yaml loaded successfully]
[2023-10-11 22:13:32,368: INFO : common : yaml file: params.yaml loaded successfully]
[2023-10-11 22:13:32,369: INFO : common : created directory at : artifacts]
[2023-10-11 22:13:32,369: INFO : common : created directory at : artifacts/data_ingestion]
[2023-10-11 22:13:32,369: INFO : data_ingestion : Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2023-10-11 22:13:47,612: INFO : data_ingestion : Downloaded data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2023-10-11 22:13:49,539: INFO : main : >>>>>> stage Data Ingestion stage completed <<<<<< 

x============x]
[2023-10-11 22:14:38,996: INFO : main : >>>>>> stage Data Ingestion stage started <<<<<<]
[2023-10-11 22:14:38,999: INFO : common : yaml file: config/config.yaml loaded successfully]
[2023-10-11 22:14:39,002: INFO : common : yaml file: params.yaml loaded successfully]
[2023-10-11 22:14:39,003: INFO : common : created directory at : artifacts]
[2023-10-11 22:14:39,003: INFO : common : created directory at : artifacts/data_ingestion]
[2023-10-11 22:14:39,004: INFO : data_ingestion : Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2023-10-11 22:14:55,324: INFO : data_ingestion : Downloaded data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2023-10-11 22:14:58,579: INFO : main : >>>>>> stage Data Ingestion stage completed <<<<<< 

x============x]
